Entity,Code,Year,CO₂ concentration (parts per million)
World,OWID_WRL,522621 BCE,236.8
World,OWID_WRL,521852 BCE,241.9
World,OWID_WRL,519624 BCE,243.5
World,OWID_WRL,518872 BCE,245.5
World,OWID_WRL,518123 BCE,247.7
World,OWID_WRL,517379 BCE,245.3
World,OWID_WRL,516650 BCE,245.5
World,OWID_WRL,515926 BCE,246.2
World,OWID_WRL,515205 BCE,247.2
World,OWID_WRL,514471 BCE,243
World,OWID_WRL,513701 BCE,241.5
World,OWID_WRL,512898 BCE,239.2
World,OWID_WRL,512083 BCE,238.2
World,OWID_WRL,511255 BCE,242
World,OWID_WRL,510414 BCE,235.2
World,OWID_WRL,509562 BCE,236.4
World,OWID_WRL,508702 BCE,233.4
World,OWID_WRL,507835 BCE,240.3
World,OWID_WRL,506991 BCE,237
World,OWID_WRL,506168 BCE,238.2
World,OWID_WRL,505362 BCE,236
World,OWID_WRL,504534 BCE,235.5
World,OWID_WRL,503734 BCE,233.9
World,OWID_WRL,502962 BCE,234.1
World,OWID_WRL,502227 BCE,232.2
World,OWID_WRL,501469 BCE,232
World,OWID_WRL,500688 BCE,231.2
World,OWID_WRL,499911 BCE,230.8
World,OWID_WRL,499134 BCE,228.2
World,OWID_WRL,498355 BCE,230.8
World,OWID_WRL,497577 BCE,230.6
World,OWID_WRL,496787 BCE,232.8
World,OWID_WRL,496016 BCE,236.5
World,OWID_WRL,495238 BCE,236.4
World,OWID_WRL,494494 BCE,237.6
World,OWID_WRL,493776 BCE,238.5
World,OWID_WRL,493074 BCE,238.3
World,OWID_WRL,492350 BCE,239.1
World,OWID_WRL,491643 BCE,239.7
World,OWID_WRL,490914 BCE,243.7
World,OWID_WRL,490205 BCE,246.7
World,OWID_WRL,489501 BCE,243.3
World,OWID_WRL,488784 BCE,242.6
World,OWID_WRL,488545 BCE,249.3
World,OWID_WRL,488076 BCE,252.8
World,OWID_WRL,487770 BCE,240.9
World,OWID_WRL,487352 BCE,242
World,OWID_WRL,486615 BCE,237.1
World,OWID_WRL,485898 BCE,231.3
World,OWID_WRL,485179 BCE,232.9
World,OWID_WRL,484449 BCE,233
World,OWID_WRL,483718 BCE,231.2
World,OWID_WRL,482986 BCE,231.4
World,OWID_WRL,482230 BCE,231.4
World,OWID_WRL,481445 BCE,227.3
World,OWID_WRL,480631 BCE,223.4
World,OWID_WRL,479713 BCE,223.8
World,OWID_WRL,478777 BCE,218.8
World,OWID_WRL,478378 BCE,220.8
World,OWID_WRL,477826 BCE,231.3
World,OWID_WRL,477453 BCE,236.5
World,OWID_WRL,476942 BCE,239.1
World,OWID_WRL,475991 BCE,236.6
World,OWID_WRL,475000 BCE,232.8
World,OWID_WRL,473975 BCE,233.1
World,OWID_WRL,473024 BCE,241.2
World,OWID_WRL,472142 BCE,245.6
World,OWID_WRL,471851 BCE,243.9
World,OWID_WRL,471268 BCE,243.7
World,OWID_WRL,470913 BCE,232.7
World,OWID_WRL,470313 BCE,229.2
World,OWID_WRL,469875 BCE,218.7
World,OWID_WRL,469251 BCE,215.5
World,OWID_WRL,468776 BCE,206.5
World,OWID_WRL,468090 BCE,205.5
World,OWID_WRL,466928 BCE,203.4
World,OWID_WRL,465757 BCE,204.4
World,OWID_WRL,464682 BCE,208.1
World,OWID_WRL,463652 BCE,210
World,OWID_WRL,463315 BCE,205.2
World,OWID_WRL,462649 BCE,199.9
World,OWID_WRL,461577 BCE,194.4
World,OWID_WRL,460464 BCE,190.7
World,OWID_WRL,459336 BCE,195.5
World,OWID_WRL,458302 BCE,202.4
World,OWID_WRL,457262 BCE,208.3
World,OWID_WRL,456844 BCE,203.3
World,OWID_WRL,456258 BCE,204.3
World,OWID_WRL,455795 BCE,199.1
World,OWID_WRL,455164 BCE,192.5
World,OWID_WRL,454052 BCE,193.3
World,OWID_WRL,452914 BCE,198.4
World,OWID_WRL,451826 BCE,201.9
World,OWID_WRL,450786 BCE,204.9
World,OWID_WRL,449797 BCE,201.2
World,OWID_WRL,448693 BCE,201.7
World,OWID_WRL,447621 BCE,208.1
World,OWID_WRL,446509 BCE,203.5
World,OWID_WRL,445269 BCE,201.1
World,OWID_WRL,443382 BCE,199.1
World,OWID_WRL,441895 BCE,202
World,OWID_WRL,440281 BCE,201.3
World,OWID_WRL,438710 BCE,201.7
World,OWID_WRL,437113 BCE,200.3
World,OWID_WRL,435535 BCE,207.5
World,OWID_WRL,433990 BCE,209.8
World,OWID_WRL,432429 BCE,207.6
World,OWID_WRL,431900 BCE,211.5
World,OWID_WRL,430229 BCE,227.2
World,OWID_WRL,429074 BCE,219.7
World,OWID_WRL,427228 BCE,242.5
World,OWID_WRL,426890 BCE,248.2
World,OWID_WRL,425991 BCE,252.1
World,OWID_WRL,425205 BCE,255.3
World,OWID_WRL,424672 BCE,265.4
World,OWID_WRL,424287 BCE,270
World,OWID_WRL,423791 BCE,270.8
World,OWID_WRL,423182 BCE,268.3
World,OWID_WRL,422558 BCE,267.7
World,OWID_WRL,421275 BCE,270.6
World,OWID_WRL,420583 BCE,266.4
World,OWID_WRL,419962 BCE,268.6
World,OWID_WRL,418752 BCE,273.8
World,OWID_WRL,418184 BCE,271.2
World,OWID_WRL,417626 BCE,273.7
World,OWID_WRL,416555 BCE,274.6
World,OWID_WRL,416007 BCE,271.8
World,OWID_WRL,415490 BCE,273.4
World,OWID_WRL,414475 BCE,271.7
World,OWID_WRL,413996 BCE,276.4
World,OWID_WRL,413230 BCE,271.6
World,OWID_WRL,412261 BCE,264.9
World,OWID_WRL,411309 BCE,274.9
World,OWID_WRL,409398 BCE,283.5
World,OWID_WRL,408504 BCE,282.6
World,OWID_WRL,407648 BCE,274.7
World,OWID_WRL,406869 BCE,284.5
World,OWID_WRL,405332 BCE,285.6
World,OWID_WRL,404593 BCE,279.6
World,OWID_WRL,403113 BCE,280.5
World,OWID_WRL,402363 BCE,276.5
World,OWID_WRL,400910 BCE,275.7
World,OWID_WRL,400191 BCE,283.1
World,OWID_WRL,398760 BCE,283.2
World,OWID_WRL,397976 BCE,277.1
World,OWID_WRL,396325 BCE,276.3
World,OWID_WRL,392956 BCE,260.7
World,OWID_WRL,392054 BCE,273.6
World,OWID_WRL,391027 BCE,259.5
World,OWID_WRL,390337 BCE,258.1
World,OWID_WRL,387460 BCE,245.8
World,OWID_WRL,385875 BCE,246.8
World,OWID_WRL,384334 BCE,239.1
World,OWID_WRL,382607 BCE,240
World,OWID_WRL,380981 BCE,227
World,OWID_WRL,376810 BCE,229.6
World,OWID_WRL,375085 BCE,224.6
World,OWID_WRL,373255 BCE,214.7
World,OWID_WRL,371508 BCE,199.9
World,OWID_WRL,369436 BCE,201.9
World,OWID_WRL,366116 BCE,206.3
World,OWID_WRL,363240 BCE,201.2
World,OWID_WRL,360618 BCE,185.8
World,OWID_WRL,358734 BCE,186.1
World,OWID_WRL,357060 BCE,193
