,Name,Score,Price,Pets,Link
416,A B&B Amsterdam,9.2,€ 205,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/jakarta-amsterdam.en-gb.html
417,B&B Houseboat Amsterdam,9.9,€ 240,"
Pets are allowed. Charges may be applicable.
",https://www.booking.com/hotel/nl/holiday-inn-express-amsterdam-motorkade.en-gb.html
418,Hotel Crown,6.7,€ 538,"
Free!
Pets are allowed on request. No extra charges.
",https://www.booking.com/hotel/nl/the-hoxton-amsterdam.en-gb.html
419,Cornelis Anthoniszstraat 55,6.8,€ 169,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/radissonamsterdam.en-gb.html
420,Zwanestein Canal House,9.0,€ 228,"
Pets are allowed on request. Charges may be applicable.
",https://www.booking.com/hotel/nl/nhbarbizon.en-gb.html
421,B&B Diemerplein,9.9,€ 150,"
Pets are allowed. Charges may be applicable.
",https://www.booking.com/hotel/nl/jollycarlton.en-gb.html
422,SWEETS - Amstelschutsluis,-1,€ 666666,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/library-amsterdam.en-gb.html
423,De Hartelust,8.7,€ 70,0,https://www.booking.com/hotel/nl/postillion-amsterdam-amsterdam.en-gb.html
424,Realeneiland Bed & Breakfast,-1,€ 666666,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/citadel.en-gb.html
425,Black Jack Suites Amsterdam,9.7,€ 109,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/victoria.en-gb.html
426,Treehouse Inn,9.4,€ 182,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/monet-garden-amsterdam.en-gb.html
427,Hotel Sharm,6.8,€ 87,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/mai-amsterdam.en-gb.html
