,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
89,0.603,0.759,8,-8.051,1,0.042,0.0419,0.831,0.17,0.741,123.036,audio_features,7Kkt9H04Z6Goz3HcBF3YLb,spotify:track:7Kkt9H04Z6Goz3HcBF3YLb,https://api.spotify.com/v1/tracks/7Kkt9H04Z6Goz3HcBF3YLb,https://api.spotify.com/v1/audio-analysis/7Kkt9H04Z6Goz3HcBF3YLb,220629,4
90,0.586,0.932,11,-4.979,1,0.0355,0.00838,0.000179,0.195,0.751,118.029,audio_features,2HwjAOHcNwkqtCM5aOzKz4,spotify:track:2HwjAOHcNwkqtCM5aOzKz4,https://api.spotify.com/v1/tracks/2HwjAOHcNwkqtCM5aOzKz4,https://api.spotify.com/v1/audio-analysis/2HwjAOHcNwkqtCM5aOzKz4,212721,4
91,0.395,0.648,9,-6.875,1,0.0416,0.029,0.0522,0.111,0.342,204.075,audio_features,7w9E6vAGljyoeJdaZc1UHr,spotify:track:7w9E6vAGljyoeJdaZc1UHr,https://api.spotify.com/v1/tracks/7w9E6vAGljyoeJdaZc1UHr,https://api.spotify.com/v1/audio-analysis/7w9E6vAGljyoeJdaZc1UHr,221468,4
92,0.524,0.76,1,-7.676,0,0.0817,0.014,0.0589,0.143,0.438,166.0,audio_features,0l2S8sfd479zsVUUtmiYNE,spotify:track:0l2S8sfd479zsVUUtmiYNE,https://api.spotify.com/v1/tracks/0l2S8sfd479zsVUUtmiYNE,https://api.spotify.com/v1/audio-analysis/0l2S8sfd479zsVUUtmiYNE,288256,4
93,0.458,0.723,0,-9.875,0,0.0391,0.0224,0.000367,0.165,0.519,115.006,audio_features,5GfvzAmRwygVymEMEXH4Oe,spotify:track:5GfvzAmRwygVymEMEXH4Oe,https://api.spotify.com/v1/tracks/5GfvzAmRwygVymEMEXH4Oe,https://api.spotify.com/v1/audio-analysis/5GfvzAmRwygVymEMEXH4Oe,228886,4
94,0.439,0.919,5,-5.959,1,0.0524,0.0029,1.94e-06,0.172,0.718,146.779,audio_features,4PlClBC1s1UhO9ijIt836r,spotify:track:4PlClBC1s1UhO9ijIt836r,https://api.spotify.com/v1/tracks/4PlClBC1s1UhO9ijIt836r,https://api.spotify.com/v1/audio-analysis/4PlClBC1s1UhO9ijIt836r,156826,4
95,0.394,0.799,11,-6.313,0,0.035,0.00104,0.00275,0.314,0.578,151.992,audio_features,3SOkU5ZQUhOCepKm4f82Gt,spotify:track:3SOkU5ZQUhOCepKm4f82Gt,https://api.spotify.com/v1/tracks/3SOkU5ZQUhOCepKm4f82Gt,https://api.spotify.com/v1/audio-analysis/3SOkU5ZQUhOCepKm4f82Gt,200698,4
96,0.571,0.654,9,-8.135,0,0.0406,0.000968,0.000537,0.28,0.463,157.018,audio_features,6GaYwJugmW5AhYKT7KVqeQ,spotify:track:6GaYwJugmW5AhYKT7KVqeQ,https://api.spotify.com/v1/tracks/6GaYwJugmW5AhYKT7KVqeQ,https://api.spotify.com/v1/audio-analysis/6GaYwJugmW5AhYKT7KVqeQ,221253,4
97,0.611,0.624,0,-9.289,1,0.0299,0.0564,5.04e-05,0.0968,0.382,119.96,audio_features,4aq7Z1Y4kRAMXmPJq9rFMM,spotify:track:4aq7Z1Y4kRAMXmPJq9rFMM,https://api.spotify.com/v1/tracks/4aq7Z1Y4kRAMXmPJq9rFMM,https://api.spotify.com/v1/audio-analysis/4aq7Z1Y4kRAMXmPJq9rFMM,203255,4
98,0.611,0.869,7,-5.14,1,0.0322,0.0747,0.000267,0.0997,0.671,110.065,audio_features,1wv2l1fIfpSN14gjd3WcqT,spotify:track:1wv2l1fIfpSN14gjd3WcqT,https://api.spotify.com/v1/tracks/1wv2l1fIfpSN14gjd3WcqT,https://api.spotify.com/v1/audio-analysis/1wv2l1fIfpSN14gjd3WcqT,196047,4
99,0.526,0.444,0,-10.809,1,0.0313,0.313,0.000217,0.0976,0.14,139.951,audio_features,29YcpckFl41lzt1FblgMoi,spotify:track:29YcpckFl41lzt1FblgMoi,https://api.spotify.com/v1/tracks/29YcpckFl41lzt1FblgMoi,https://api.spotify.com/v1/audio-analysis/29YcpckFl41lzt1FblgMoi,309750,4
