text,retweets,replies,tweet_interactions
15,8064,2940,11004
4,2951,999,3950
3,1282,418,1700
10,40917,7083,48000
3,3638,1419,5057
3,5620,1932,7552
8,14173,3597,17770
1,3613,1305,4918
24,18710,5836,24546
16,4224,1498,5722
30,14593,19760,34353
35,105344,33156,138500
29,29772,10187,39959
21,10396,6948,17344
38,22359,8824,31183
15,7819,3864,11683
10,1311,711,2022
25,11914,4503,16417
13,4856,1868,6724
12,32789,3502,36291
10,15439,3021,18460
15,10157,3692,13849
6,695,379,1074
2,7200,1121,8321
2,100,108,208
2,60,104,164
5,1080,561,1641
7,10691,2385,13076
15,52552,8851,61403
24,7035,2779,9814
2,70,70,140
2,10195,1987,12182
3,989,439,1428
1,977,121,1098
19,84995,15421,100416
22,24017,11690,35707
48,19814,6550,26364
4,371,291,662
33,5968,4096,10064
13,1438,849,2287
5,10165,2685,12850
16,2616,2198,4814
17,18913,7166,26079
8,6266,958,7224
25,13710,4518,18228
8,10412,31024,41436
15,3443,1382,4825
11,3269,4172,7441
20,40790,8621,49411
1,54,133,187
1,12972,4833,17805
3,319,169,488
2,4340,1341,5681
10,8357,1376,9733
30,6457,2961,9418
20,14399,3149,17548
12,47038,6125,53163
27,72785,8658,81443
6,102546,10323,112869
14,46251,8436,54687
24,38592,8347,46939
19,10897,4999,15896
6,2974,1738,4712
14,5886,4660,10546
5,9857,7786,17643
1,53,175,228
4,4338,3596,7934
5,848,763,1611
18,5106,2494,7600
1,47,65,112
9,2246,1308,3554
1,17,41,58
5,2494,1435,3929
2,3058,994,4052
3,612,616,1228
4,1157,555,1712
6,16790,7871,24661
8,4264,2700,6964
12,6493,3101,9594
19,21323,8693,30016
1,24,55,79
2,1641,871,2512
18,5034,2750,7784
2,226,157,383
12,27338,14965,42303
4,1330,666,1996
3,404,308,712
15,34762,7925,42687
1,3029,866,3895
4,577,344,921
4,1758,1227,2985
4,13723,3885,17608
2,6494,2109,8603
2,3593,1718,5311
5,5524,3296,8820
3,357,251,608
6,5859,2382,8241
3,6071,1921,7992
13,11947,5113,17060
1,8685,1575,10260
1,15,59,74
10,3243,3262,6505
1,118,71,189
1,381,609,990
3,4226,1530,5756
1,737,311,1048
2,16077,3123,19200
1,1397,728,2125
6,13894,5273,19167
5,13190,3845,17035
4,5326,2009,7335
3,1666,1528,3194
5,4599,1617,6216
9,8196,2182,10378
2,2277,1240,3517
6,2909,1453,4362
25,41526,8587,50113
16,43308,8647,51955
8,6325,2512,8837
14,3474,1466,4940
2,43293,6856,50149
1,339,345,684
2,283,403,686
4,3138,2908,6046
3,1202,454,1656
5,23030,4977,28007
3,3664,1097,4761
1,2550,1678,4228
3,645,634,1279
13,17611,8112,25723
16,5687,3187,8874
8,3550,1600,5150
1,638,473,1111
4,41198,3919,45117
8,6462,1650,8112
3,9736,3013,12749
2,587,220,807
8,47292,9432,56724
5,1867,809,2676
8,102893,15697,118590
8,13974,4400,18374
7,2823,848,3671
7,4057,3077,7134
12,15350,7591,22941
7,410305,20504,430809
9,11413,1801,13214
7,48668,5782,54450
17,182378,19647,202025
9,23450,5700,29150
20,197539,66770,264309
17,48219,10273,58492
27,20294,6815,27109
3,10421,4921,15342
3,6596,1336,7932
10,12912,3727,16639
13,11487,2176,13663
23,54107,11731,65838
9,46473,10849,57322
7,8598,7103,15701
1,574,386,960
6,2608,23006,25614
7,69013,7059,76072
2,5562,1308,6870
2,84422,1909,86331
8,5613,1758,7371
17,25577,8789,34366
3,3912,1516,5428
9,29052,6672,35724
20,6486,2799,9285
6,5426,3467,8893
8,4862,2102,6964
1,508,780,1288
1,3887,2202,6089
1,65,75,140
15,57003,21945,78948
4,6238,2194,8432
2,2367,1105,3472
13,38228,8634,46862
5,1095,468,1563
17,19521,1961,21482
4,3258,1702,4960
4,5462,2337,7799
1,26,69,95
7,40987,8557,49544
1,6206,1356,7562
1,158,124,282
16,17975,5553,23528
16,17303,6388,23691
1,332,226,558
1,475,345,820
5,71381,7074,78455
5,12220,2275,14495
4,6995,2059,9054
1,373,210,583
8,6633,2287,8920
28,33748,11404,45152
8,4060,2154,6214
7,50459,8535,58994
24,5517,2625,8142
11,67762,9791,77553
12,9813,3055,12868
6,17520,5211,22731
13,10285,5202,15487
13,1020,524,1544
2,2356,1139,3495
2,1186,436,1622
3,15889,5290,21179
4,34171,7464,41635
15,181542,10939,192481
10,22553,9493,32046
16,24498,7478,31976
3,14995,2848,17843
8,40677,10760,51437
1,7105,2380,9485
14,30277,8877,39154
5,3466,1177,4643
11,35409,9329,44738
1,22,69,91
5,8447,2047,10494
2,5966,2652,8618
1,30698,2212,32910
5,1926,873,2799
7,3581,3392,6973
1,109,103,212
4,2187,1180,3367
5,18845,4151,22996
7,7677,3299,10976
4,1277,927,2204
16,17118,7056,24174
1,80,50,130
10,156622,25261,181883
5,38986,5044,44030
1,21,55,76
6,89247,8769,98016
12,11054,3394,14448
19,29826,7645,37471
8,63416,6814,70230
7,45263,5365,50628
5,51947,8071,60018
2,1582,1199,2781
4,1494,879,2373
9,21257,5255,26512
5,24828,2316,27144
5,70068,6486,76554
1,194,144,338
20,10474,3073,13547
2,4908,1557,6465
7,23846,3828,27674
9,6275,2763,9038
1,15283,2339,17622
3,12196,3096,15292
5,1773,1230,3003
2,13559,2641,16200
1,629,403,1032
4,29255,9071,38326
24,5189,2801,7990
14,56278,4931,61209
2,24875,2112,26987
3,36197,3781,39978
11,48077,4168,52245
11,44827,12554,57381
