date,text,retweets,replies,favorites,tweet_interactions
2016-04-10,1,95,34,704,833
2016-04-11,3,1255,291,5839,7385
2016-04-14,1,3074,224,5455,8753
2016-04-17,4,3575,553,11198,15326
2016-04-18,1,1025,165,2897,4087
2016-04-20,5,4960,534,17818,23312
2016-04-24,1,175,9,167,351
2016-04-27,5,5479,688,14099,20266
2016-04-29,3,30,26,262,318
2016-04-30,17,1728,343,6282,8353
2016-05-01,9,1510,306,6100,7916
2016-05-02,2,3744,520,9920,14184
2016-05-05,2,2343,462,7098,9903
2016-05-06,6,17160,1809,51399,70368
2016-05-07,4,473,224,3196,3893
2016-05-10,1,6,9,95,110
2016-05-12,5,4836,751,14252,19839
2016-05-14,3,1517,258,5806,7581
2016-05-15,2,4356,475,16997,21828
2016-05-16,7,1245,348,5886,7479
2016-05-17,1,10,3,103,116
2016-05-18,5,2467,313,9274,12054
2016-05-19,1,792,95,2284,3171
2016-05-22,1,52,18,272,342
2016-05-25,1,1317,124,3575,5016
2016-05-26,1,742,128,2277,3147
2016-05-27,4,3272,698,14173,18143
2016-05-28,2,9899,747,15520,26166
2016-05-29,1,1096,109,4385,5590
2016-05-30,1,7,43,148,198
2016-06-01,1,1090,91,2597,3778
2016-06-02,3,1560,400,4390,6350
2016-06-03,3,17974,1135,33671,52780
2016-06-04,7,7321,2657,20980,30958
2016-06-05,3,4186,499,12277,16962
2016-06-06,1,525,84,2194,2803
2016-06-07,1,2357,242,8741,11340
2016-06-08,3,1980,286,7471,9737
2016-06-09,2,5031,456,11855,17342
2016-06-10,5,3454,1061,12358,16873
2016-06-11,1,20,147,192,359
2016-06-12,8,6454,961,18324,25739
2016-06-15,6,6601,1170,21450,29221
2016-06-17,4,15837,1181,41266,58284
2016-06-19,4,11004,1113,28215,40332
2016-06-20,2,965,182,3700,4847
2016-06-22,1,164,89,788,1041
2016-06-27,4,1199,471,5173,6843
2016-06-28,1,355,1028,5909,7292
2016-06-29,4,1976,345,6473,8794
2016-06-30,2,1660,408,4326,6394
2016-07-05,5,1186,555,5395,7136
2016-07-06,7,2248,351,6306,8905
2016-07-08,4,2200,181,6363,8744
2016-07-09,3,900,165,4777,5842
2016-07-10,21,18402,2004,58875,79281
2016-07-12,3,1568,307,6534,8409
2016-07-13,1,1644,235,5111,6990
2016-07-14,4,6627,571,16900,24098
2016-07-15,11,2812,679,11301,14792
2016-07-16,7,2127,750,9765,12642
2016-07-17,12,6295,1029,23965,31289
2016-07-18,8,11731,1837,43811,57379
2016-07-19,3,2350,1055,14074,17479
2016-07-20,9,4054,1733,22588,28375
2016-07-21,6,20334,1678,43707,65719
2016-07-22,1,1739,553,9392,11684
2016-07-23,1,818,204,3803,4825
2016-07-25,1,19,20,269,308
2016-07-26,3,7511,605,15277,23393
2016-07-27,2,2611,353,10960,13924
2016-07-28,1,568,86,1973,2627
2016-07-29,3,3974,652,12517,17143
2016-07-30,7,9000,1026,32977,43003
2016-07-31,2,134,70,741,945
2016-08-01,1,27,96,392,515
2016-08-07,1,2156,472,9474,12102
2016-08-09,4,3454,479,14552,18485
2016-08-10,1,2597,163,6407,9167
2016-08-11,1,291,107,2244,2642
2016-08-14,1,1894,548,10605,13047
2016-08-15,1,1229,227,3102,4558
2016-08-22,1,2159,144,6221,8524
2016-08-23,2,4918,919,14695,20532
2016-08-28,2,147,64,836,1047
2016-08-30,1,1949,147,7706,9802
2016-08-31,5,2146,409,10674,13229
2016-09-01,3,5736,1660,15235,22631
2016-09-09,10,7648,2048,25722,35418
2016-09-10,1,896,338,5645,6879
2016-09-13,4,14714,804,26028,41546
2016-09-16,6,2103,316,5900,8319
2016-09-17,8,2315,2673,11734,16722
2016-09-18,2,1632,283,5574,7489
2016-09-19,1,14,29,158,201
2016-09-21,11,4522,781,20887,26190
2016-09-22,4,8774,758,24243,33775
2016-09-23,1,1270,143,3608,5021
2016-09-26,9,14297,1034,42382,57713
2016-09-27,6,11780,1461,26027,39268
2016-09-28,4,353,116,2034,2503
2016-10-01,2,277,52,1332,1661
2016-10-02,6,3401,731,17794,21926
2016-10-04,2,1840,377,6556,8773
2016-10-05,2,1239,335,4300,5874
2016-10-06,2,82,85,843,1010
2016-10-07,3,2874,573,10758,14205
2016-10-09,5,6138,931,18905,25974
2016-10-10,8,15997,1564,41328,58889
2016-10-13,1,30,22,277,329
2016-10-16,3,1963,717,9082,11762
2016-10-18,1,210,55,936,1201
2016-10-19,5,8387,1763,22254,32404
